id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm40817,College Road Trip,MOVIE,"When an overachieving high school student decides to travel around the country to choose the perfect college, her overprotective cop father also decides to accompany her in order to keep her on the straight and narrow.",2008,G,83,"['action', 'comedy', 'drama', 'family']",['US'],0,tt0997047,4.3,16322,11.953,5.564
ts20463,Imagination Movers,SHOW,"Imagination Movers is a Live-action Pre-school television series that premiered on September 6, 2008 on Disney Channel. The program was originally part of the Playhouse Disney daily block intended for preschoolers. On February 14, 2011, it was moved to the Disney Junior block, serving as Playhouse Disney's replacement.

The Imagination Movers TV series is based on the format and music of the New Orleans based music group Imagination Movers who both act and are co-executive-producers of the show.

On May 30, 2011, it was announced that the series will end after the remaining episodes of the third season have aired, though the band itself will continue and is open to doing other projects.

On November 28, 2011 the Movers ran an announcement on official Facebook page implying that they have been given the green light to air more new episodes of the show in 2012.",2008,TV-Y,23,"['comedy', 'family']",['US'],3,tt1101237,7,833,5.711,6.6
tm767,'Twas the Night,MOVIE,A mischievous 14-year-old boy and his irresponsible uncle almost ruin Christmas when they decide to take Santa's new high-tech sleigh for a joyride.,2001,G,84,"['comedy', 'family']",['US'],0,tt0282223,5.2,1126,3.911,5.365
tm35227,The Wild,MOVIE,"An adolescent lion is accidentally shipped from the New York Zoo to Africa. Now running free, his zoo pals must put aside their differences to help bring him back.",2006,G,94,"['animation', 'comedy', 'family']","['US', 'CA']",0,tt0405469,5.2,26560,30.859,5.537
tm184353,Valiant,MOVIE,"Set in 1944, Valiant is a woodland pigeon who wants to become a great hero someday. When he hears they are hiring recruits for the Royal Homing Pigeon Service, he immediately sets out for London. On the way, he meets a smelly but friendly pigeon named Bugsy, who joins him, mainly to get away from clients he cheated in a game of find-the pebble, and helps him sign up for the war.",2005,G,76,"['comedy', 'family', 'war', 'animation']","['US', 'GB']",0,tt0361089,5.5,23484,17.265,5.472
tm46997,A Muppets Christmas: Letters to Santa,MOVIE,"When Gonzo forgets to mail three letters to Santa, he convinces Kermit and the gang to help him deliver the notes to the North Pole. Along the way, they discover that Christmas is the time to be with those you care about most, as they dash home to make a friends Christmas wish come true.",2008,G,55,"['family', 'action', 'comedy', 'music']",['US'],0,tt1292569,6.3,2278,4.761,6
tm149585,Princess Protection Program,MOVIE,"When her nation is invaded, a young princess is taken into the Princess Protection Program. She is relocated to Louisiana, where she stays with a covert agent and his tomboyish daughter, and must learn how to behave like an ordinary teenager.",2009,G,89,"['comedy', 'drama', 'family']",['US'],0,tt1196339,5.6,25023,25.08,6.649
tm129695,The Even Stevens Movie,MOVIE,"The Stevens think that they've won an all-expenses-paid trip to an island that's halfway around the world. When their house is destroyed, their food stolen, and their bacon eaten, the Stevens family breaks apart in front of all their friends on live national television, while the island itself is only a short distance away from Sacramento!",2003,G,93,"['comedy', 'family']",['US'],0,tt0327698,6.1,7183,6.883,5.8
tm177274,Because of Winn-Dixie,MOVIE,"A girl, abandoned by her mother when she was three, moves to a small town in Florida with her father. There, she adopts an orphaned dog she names Winn-Dixie. The bond between the girl and her special companion brings together the people in a small Florida town and heals her own troubled relationship with her father.",2005,PG,106,"['comedy', 'drama', 'family']",['US'],0,tt0317132,6.3,11962,13.851,6.372
tm148606,Wizards of Waverly Place: The Movie,MOVIE,A young wizard accidentally conjures a spell that puts her family in jeopardy.,2009,PG,98,"['drama', 'comedy', 'family', 'fantasy', 'animation', 'action']",['US'],0,tt1369845,6.2,19235,20.771,6.6
tm75304,High School Musical 2,MOVIE,"The East High Wildcats are gearing up for big fun as they land the coolest summer jobs imaginable. Troy, Gabriella, Chad, and Taylor have scored sweet gigs at the Lava Springs Country Club owned by Sharpay and Ryan's family. Sharpay's first rule of business: Get Troy. As Troy experiences a life of privilege he's never known, will he give up the Wildcats and Gabriella to rise to the top?",2007,G,105,"['comedy', 'drama', 'romance', 'family', 'music']",['US'],0,tt1156450,4.7,361,22.015,6.5
tm102355,Starstruck,MOVIE,"Pop star Christopher Wilde has fame, fortune and a big-budget Hollywood movie awaiting him. But after meeting Jessica Olson, a down-to-earth girl from the Midwest, he is faced with following his heart or doing what's best for his career.",2010,G,81,"['comedy', 'family', 'music', 'romance']",['US'],0,tt1579247,6.1,16200,15.604,7.02
tm120806,The Rookie,MOVIE,"Jim Morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. Now a married-with-children high-school chemistry teacher and baseball coach in Texas, Jim's team makes a deal with him: if they win the district championship, Jim will try out with a major-league organization. The bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. Jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the Tampa Bay Devil Rays. Jim's still got a lot of pitches to throw before he makes it to The Show, but with his big-league dreams revived, there's no telling where he could go.",2002,G,127,"['drama', 'family', 'sport']",['US'],0,tt0265662,6.9,35621,12.703,6.753
tm28463,Cow Belles,MOVIE,"In order to learn how to be responsible, two wealthy teen sisters are forced to work in the family business by their exasperated father. When company funds goes missing, it's up to the girls to save the day.",2006,G,88,"['comedy', 'family', 'romance']",['US'],0,tt0491716,5.2,6380,11.283,5.471
tm146421,The Boys: The Sherman Brothers' Story,MOVIE,"The troubled fraternal relationship between songwriters Robert B. Sherman and Richard M. Sherman, the Oscar and Grammy-winning Sherman Brothers, famous for the iconic hits they wrote for Disney.",2009,PG,101,"['music', 'documentation']",['US'],0,tt1015971,7.7,1214,6.801,7.4
tm27689,Camp Rock,MOVIE,"When Mitchie gets a chance to attend Camp Rock, her life takes an unpredictable twist, and she learns just how important it is to be true to yourself.",2008,G,99,"['drama', 'romance', 'comedy', 'family', 'music', 'animation']",['US'],0,tt1055366,5.1,34946,15.511,6.4
tm140670,Brother Bear,MOVIE,"When an impulsive boy named Kenai is magically transformed into a bear, he must literally walk in another's footsteps until he learns some valuable life lessons. His courageous and often zany journey introduces him to a forest full of wildlife, including the lovable bear cub Koda, hilarious moose Rutt and Tuke, woolly mammoths and rambunctious rams.",2003,G,85,"['family', 'action', 'animation', 'comedy', 'drama', 'fantasy']",['US'],0,tt0328880,6.8,114588,72.349,7.254
